pn,alias,industry,type_subtype,D_i_initial,active_channels,hypothesis_support,hypothesis_contradict,hypothesis_neutral,status
1,반도체 빅딜,반도체,D_crisis_relief,+,"C4,C5,C6","'반도체 빅딜' 정책이 유동성 공급·시장 불안 완화·신뢰 회복을 통해 삼성전자, 현대전자 등 반도체 업종의 주가에 상승 압력을 만든다","'반도체 빅딜' 정책이 정책 효과 미흡과 추가 위기 우려 확산으로 삼성전자, 현대전자 등 반도체 업종의 주가에 하락 압력을 만든다",이 기사는 '반도체 빅딜' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
2,반도체촉진,반도체,C_industrial_support,+,"C3,C6","'반도체촉진' 정책이 설비투자 확대·인프라 구축·시장 신뢰 강화를 통해 삼성전자, 하이닉스 등 반도체 업종의 주가에 상승 압력을 만든다","'반도체촉진' 정책이 실행 지연과 정책 효과 부진으로 삼성전자, 하이닉스 등 반도체 업종의 주가에 하락 압력을 만든다",이 기사는 '반도체촉진' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
3,일본 수출규제,반도체,E_foreign_shock,-,"C3,C4","'일본 수출규제' 충격이 공급망 위축·정책 불확실성 확대로 삼성전자, SK하이닉스 등 반도체 업종의 주가에 하락 압력을 만든다","'일본 수출규제' 충격에 대해 한국 기업의 대안 시장 확보와 국산화 가속으로 삼성전자, SK하이닉스 등 반도체 업종의 주가에 상승 압력을 만든다",이 기사는 '일본 수출규제' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
4,소부장 대책,반도체,D_crisis_relief,+,"C4,C5,C6","'소부장 대책' 정책이 유동성 공급·시장 불안 완화·신뢰 회복을 통해 동진쎄미켐, 솔브레인 등 반도체 업종의 주가에 상승 압력을 만든다","'소부장 대책' 정책이 정책 효과 미흡과 추가 위기 우려 확산으로 동진쎄미켐, 솔브레인 등 반도체 업종의 주가에 하락 압력을 만든다",이 기사는 '소부장 대책' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
5,K반도체 벨트,반도체,C_industrial_support,+,"C3,C6","'K반도체 벨트' 정책이 설비투자 확대·인프라 구축·시장 신뢰 강화를 통해 삼성전자, SK하이닉스 등 반도체 업종의 주가에 상승 압력을 만든다","'K반도체 벨트' 정책이 실행 지연과 정책 효과 부진으로 삼성전자, SK하이닉스 등 반도체 업종의 주가에 하락 압력을 만든다",이 기사는 'K반도체 벨트' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
6,반도체 초강대국,반도체,C_industrial_support,+,"C3,C6","'반도체 초강대국' 정책이 설비투자 확대·인프라 구축·시장 신뢰 강화를 통해 삼성전자, SK하이닉스 등 반도체 업종의 주가에 상승 압력을 만든다","'반도체 초강대국' 정책이 실행 지연과 정책 효과 부진으로 삼성전자, SK하이닉스 등 반도체 업종의 주가에 하락 압력을 만든다",이 기사는 '반도체 초강대국' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
7,미국 반도체 수출규제,반도체,E_foreign_shock,-,"C3,C4","'미국 반도체 수출규제' 충격이 공급망 위축·정책 불확실성 확대로 삼성전자, SK하이닉스 (중국 공장) 등 반도체 업종의 주가에 하락 압력을 만든다","'미국 반도체 수출규제' 충격에 대해 한국 기업의 대안 시장 확보와 국산화 가속으로 삼성전자, SK하이닉스 (중국 공장) 등 반도체 업종의 주가에 상승 압력을 만든다",이 기사는 '미국 반도체 수출규제' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
8,K칩스법 1차,반도체,A_tax_support,+,C1,"'K칩스법 1차' 정책이 세부담 감소와 자금 여력 개선을 통해 삼성전자, SK하이닉스 등 반도체 업종의 주가에 상승 압력을 만든다","'K칩스법 1차' 정책이 세부담 증가나 정책 효과 부진으로 삼성전자, SK하이닉스 등 반도체 업종의 주가에 하락 압력을 만든다",이 기사는 'K칩스법 1차' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
9,메가 클러스터,반도체,C_industrial_support,+,"C3,C6","'메가 클러스터' 정책이 설비투자 확대·인프라 구축·시장 신뢰 강화를 통해 삼성전자, SK하이닉스 등 반도체 업종의 주가에 상승 압력을 만든다","'메가 클러스터' 정책이 실행 지연과 정책 효과 부진으로 삼성전자, SK하이닉스 등 반도체 업종의 주가에 하락 압력을 만든다",이 기사는 '메가 클러스터' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
10,K칩스법 2차,반도체,A_tax_support,+,C1,"'K칩스법 2차' 정책이 세부담 감소와 자금 여력 개선을 통해 삼성전자, SK하이닉스 등 반도체 업종의 주가에 상승 압력을 만든다","'K칩스법 2차' 정책이 세부담 증가나 정책 효과 부진으로 삼성전자, SK하이닉스 등 반도체 업종의 주가에 하락 압력을 만든다",이 기사는 'K칩스법 2차' 정책과 무관하거나 정책의 주가 영향이 아닌 단순 사실 전달이다,v1.1_frozen
